"CpG","Beta","SE","P","FDR","Trait","threshold"
"cg11844315",-0.002,5e-04,3.9e-05,0.0025,"smoking","F005"
"cg03656863",-0.0032,8e-04,3.9e-05,0.0025,"smoking","F005"
"cg15240733",-0.0051,0.0012,3.9e-05,0.0025,"smoking","F005"
"cg27488503",-0.0078,0.0019,3.9e-05,0.0025,"smoking","F005"
"cg21969395",0.0031,7e-04,3.9e-05,0.0025,"smoking","F005"
"cg00127167",0.0053,0.0013,4e-05,0.0025,"smoking","F005"
"cg14023774",-0.0058,0.0014,4e-05,0.0025,"smoking","F005"
"cg11748187",-0.012,0.0029,4e-05,0.0025,"smoking","F005"
"cg12505153",0.0022,5e-04,4e-05,0.0025,"smoking","F005"
"cg01447475",0.0047,0.0011,4e-05,0.0025,"smoking","F005"
"cg03010301",-0.0039,9e-04,4e-05,0.0025,"smoking","F005"
"cg17804356",-0.0045,0.0011,4e-05,0.0025,"smoking","F005"
"cg00241664",-0.0029,7e-04,4e-05,0.0025,"smoking","F005"
"cg24704287",-0.0083,0.002,4e-05,0.0025,"smoking","F005"
"cg00602326",0.0039,9e-04,4e-05,0.0025,"smoking","F005"
"cg04934382",-0.0056,0.0014,4e-05,0.0025,"smoking","F005"
"cg25939350",-0.0038,9e-04,4e-05,0.0025,"smoking","F005"
"cg13691901",0.0019,5e-04,4e-05,0.0025,"smoking","F005"
"cg10753283",0.0035,9e-04,4e-05,0.0025,"smoking","F005"
"cg26682337",-0.0043,0.001,4e-05,0.0025,"smoking","F005"
"cg03521982",0.0072,0.0017,4e-05,0.0025,"smoking","F005"
"cg20970886",-0.0044,0.0011,4e-05,0.0025,"smoking","F005"
"cg03254137",0.0052,0.0013,4e-05,0.0026,"smoking","F005"
"cg05168468",0.0036,9e-04,4e-05,0.0026,"smoking","F005"
"cg18618815",-0.0096,0.0023,4e-05,0.0026,"smoking","F005"
"cg10082841",-0.0033,8e-04,4e-05,0.0026,"smoking","F005"
"cg03928546",-0.009,0.0022,4e-05,0.0026,"smoking","F005"
"cg04211581",0.0053,0.0013,4e-05,0.0026,"smoking","F005"
"cg19579782",-0.0044,0.0011,4e-05,0.0026,"smoking","F005"
"cg20342079",0.0021,5e-04,4e-05,0.0026,"smoking","F005"
"cg19004883",0.0052,0.0013,4e-05,0.0026,"smoking","F005"
"cg00313914",-0.0201,0.0049,4e-05,0.0026,"smoking","F005"
"cg04350202",0.0052,0.0013,4.1e-05,0.0026,"smoking","F005"
"cg00207428",-0.0067,0.0016,4.1e-05,0.0026,"smoking","F005"
"cg14688451",-0.0047,0.0011,4.1e-05,0.0026,"smoking","F005"
"cg24950222",0.0062,0.0015,4.1e-05,0.0026,"smoking","F005"
"cg03915012",0.0069,0.0017,4.1e-05,0.0026,"smoking","F005"
"cg09990613",-0.0066,0.0016,4.1e-05,0.0026,"smoking","F005"
"cg24718722",-0.02,0.0049,4.1e-05,0.0026,"smoking","F005"
"cg01415909",-0.0031,7e-04,4.1e-05,0.0026,"smoking","F005"
"cg22843712",0.0074,0.0018,4.1e-05,0.0026,"smoking","F005"
"cg27091643",-0.0018,4e-04,4.1e-05,0.0026,"smoking","F005"
"cg12551567",-0.0027,7e-04,4.1e-05,0.0026,"smoking","F005"
"cg17385225",-0.0047,0.0011,4.1e-05,0.0026,"smoking","F005"
"cg02977954",0.0036,9e-04,4.1e-05,0.0026,"smoking","F005"
"cg05505103",-0.0163,0.004,4.1e-05,0.0026,"smoking","F005"
"cg08922729",-0.0084,0.002,4.1e-05,0.0026,"smoking","F005"
"cg19361800",0.0039,9e-04,4.1e-05,0.0026,"smoking","F005"
"cg16932017",-0.0022,5e-04,4.1e-05,0.0026,"smoking","F005"
"cg05177776",-0.0031,8e-04,4.1e-05,0.0026,"smoking","F005"
"cg03117379",-0.0068,0.0017,4.1e-05,0.0026,"smoking","F005"
"cg01771416",-0.0065,0.0016,4.1e-05,0.0026,"smoking","F005"
"cg16205058",-0.0066,0.0016,4.1e-05,0.0026,"smoking","F005"
"cg15321306",-0.0036,9e-04,4.1e-05,0.0026,"smoking","F005"
"cg14370448",-0.0021,5e-04,4.1e-05,0.0026,"smoking","F005"
"cg11032534",0.0036,9e-04,4.1e-05,0.0026,"smoking","F005"
"cg24636368",-0.007,0.0017,4.1e-05,0.0026,"smoking","F005"
"cg22249612",-0.0066,0.0016,4.1e-05,0.0026,"smoking","F005"
"cg08261094",0.0033,8e-04,4.1e-05,0.0026,"smoking","F005"
"cg15697849",0.002,5e-04,4.1e-05,0.0026,"smoking","F005"
"cg14608384",-0.0021,5e-04,4.2e-05,0.0026,"smoking","F005"
"cg25565476",-0.0067,0.0016,4.2e-05,0.0026,"smoking","F005"
"cg19821297",-0.0064,0.0016,4.2e-05,0.0026,"smoking","F005"
"cg15822222",-0.0047,0.0011,4.2e-05,0.0026,"smoking","F005"
"cg21254755",0.0041,0.001,4.2e-05,0.0026,"smoking","F005"
"cg01948094",-0.0026,6e-04,4.2e-05,0.0026,"smoking","F005"
"cg13879483",-0.0044,0.0011,4.2e-05,0.0026,"smoking","F005"
"cg23574443",-0.0056,0.0014,4.2e-05,0.0026,"smoking","F005"
"cg02402882",-0.0051,0.0013,4.2e-05,0.0026,"smoking","F005"
"cg25930591",0.0021,5e-04,4.2e-05,0.0026,"smoking","F005"
"cg09795027",0.0079,0.0019,4.2e-05,0.0026,"smoking","F005"
"cg16436711",0.0077,0.0019,4.2e-05,0.0026,"smoking","F005"
"cg07136905",0.0036,9e-04,4.2e-05,0.0026,"smoking","F005"
"cg15037583",0.0046,0.0011,4.2e-05,0.0026,"smoking","F005"
"cg15843331",-0.0054,0.0013,4.2e-05,0.0026,"smoking","F005"
"cg08719608",-0.0043,0.001,4.2e-05,0.0026,"smoking","F005"
"cg24420534",0.0115,0.0028,4.2e-05,0.0027,"smoking","F005"
"cg27587780",0.0074,0.0018,4.2e-05,0.0027,"smoking","F005"
"cg10166277",-0.0054,0.0013,4.2e-05,0.0027,"smoking","F005"
"cg15175005",0.0076,0.0019,4.2e-05,0.0027,"smoking","F005"
"cg24672624",0.0052,0.0013,4.2e-05,0.0027,"smoking","F005"
"cg03566174",0.0057,0.0014,4.2e-05,0.0027,"smoking","F005"
"cg12772932",0.0088,0.0021,4.2e-05,0.0027,"smoking","F005"
"cg27414655",0.0026,6e-04,4.2e-05,0.0027,"smoking","F005"
"cg02515233",0.0021,5e-04,4.2e-05,0.0027,"smoking","F005"
"cg05794695",-0.0033,8e-04,4.2e-05,0.0027,"smoking","F005"
"cg05462339",0.0053,0.0013,4.2e-05,0.0027,"smoking","F005"
"cg24631162",-0.009,0.0022,4.2e-05,0.0027,"smoking","F005"
"cg25814293",-0.0142,0.0035,4.2e-05,0.0027,"smoking","F005"
"cg00800383",0.0023,6e-04,4.2e-05,0.0027,"smoking","F005"
"cg18951352",-0.0091,0.0022,4.2e-05,0.0027,"smoking","F005"
"cg08130912",0.0035,9e-04,4.2e-05,0.0027,"smoking","F005"
"cg06997114",0.0047,0.0011,4.2e-05,0.0027,"smoking","F005"
"cg09012125",-0.0045,0.0011,4.3e-05,0.0027,"smoking","F005"
"cg03805684",-0.0057,0.0014,4.3e-05,0.0027,"smoking","F005"
"cg23850277",-0.005,0.0012,4.3e-05,0.0027,"smoking","F005"
"cg21144158",-0.0091,0.0022,4.3e-05,0.0027,"smoking","F005"
"cg26605073",-0.005,0.0012,4.3e-05,0.0027,"smoking","F005"
"cg05360958",0.0054,0.0013,4.3e-05,0.0027,"smoking","F005"
"cg16113793",0.003,7e-04,4.3e-05,0.0027,"smoking","F005"
"cg10852154",0.0038,9e-04,4.3e-05,0.0027,"smoking","F005"
"cg23488607",-0.0064,0.0016,4.3e-05,0.0027,"smoking","F005"
"cg18168663",0.0052,0.0013,4.3e-05,0.0027,"smoking","F005"
"cg19031085",0.0082,0.002,4.3e-05,0.0027,"smoking","F005"
"cg03484180",-0.0071,0.0017,4.3e-05,0.0027,"smoking","F005"
"cg03078551",-0.0045,0.0011,4.3e-05,0.0027,"smoking","F005"
"cg10440877",-0.0063,0.0015,4.3e-05,0.0027,"smoking","F005"
"cg06603074",-0.0063,0.0015,4.3e-05,0.0027,"smoking","F005"
"cg08159271",-0.0018,4e-04,4.3e-05,0.0027,"smoking","F005"
"cg21323494",0.0043,0.001,4.3e-05,0.0027,"smoking","F005"
"cg08883485",-0.015,0.0037,4.3e-05,0.0027,"smoking","F005"
"cg03541338",-0.0015,4e-04,4.3e-05,0.0027,"smoking","F005"
"cg01268824",-0.0069,0.0017,4.3e-05,0.0027,"smoking","F005"
"cg07743702",0.0085,0.0021,4.3e-05,0.0027,"smoking","F005"
"cg18634506",-0.0062,0.0015,4.3e-05,0.0027,"smoking","F005"
"cg01847344",0.0041,0.001,4.3e-05,0.0027,"smoking","F005"
"cg03329019",-0.0105,0.0026,4.3e-05,0.0027,"smoking","F005"
"cg00015121",-0.0069,0.0017,4.3e-05,0.0027,"smoking","F005"
"cg11738530",0.0037,9e-04,4.3e-05,0.0027,"smoking","F005"
"cg02328221",0.0034,8e-04,4.3e-05,0.0027,"smoking","F005"
"cg17214107",-0.0065,0.0016,4.3e-05,0.0027,"smoking","F005"
"cg18025831",0.0116,0.0028,4.3e-05,0.0027,"smoking","F005"
"cg13607323",-0.0067,0.0016,4.3e-05,0.0027,"smoking","F005"
"cg17331950",0.0032,8e-04,4.3e-05,0.0027,"smoking","F005"
"cg01074767",-0.0136,0.0033,4.3e-05,0.0027,"smoking","F005"
"cg14420108",-0.0056,0.0014,4.3e-05,0.0027,"smoking","F005"
"cg25717464",0.0033,8e-04,4.3e-05,0.0027,"smoking","F005"
"cg02329038",-0.0042,0.001,4.3e-05,0.0027,"smoking","F005"
"cg03345145",0.0037,9e-04,4.3e-05,0.0027,"smoking","F005"
"cg13327545",-0.0048,0.0012,4.4e-05,0.0027,"smoking","F005"
"cg25164589",0.0073,0.0018,4.4e-05,0.0027,"smoking","F005"
"cg23878206",-0.0049,0.0012,4.4e-05,0.0027,"smoking","F005"
"cg06556702",0.005,0.0012,4.4e-05,0.0027,"smoking","F005"
"cg02594183",-0.0029,7e-04,4.4e-05,0.0027,"smoking","F005"
"cg00236832",0.0028,7e-04,4.4e-05,0.0027,"smoking","F005"
"cg02470179",0.0025,6e-04,4.4e-05,0.0027,"smoking","F005"
"cg16408820",-0.0047,0.0012,4.4e-05,0.0027,"smoking","F005"
"cg03347018",-0.0053,0.0013,4.4e-05,0.0027,"smoking","F005"
"cg03588998",-0.0039,9e-04,4.4e-05,0.0027,"smoking","F005"
"cg07065756",-0.0062,0.0015,4.4e-05,0.0027,"smoking","F005"
"cg04546097",-0.003,7e-04,4.4e-05,0.0027,"smoking","F005"
"cg27017172",-0.0035,9e-04,4.4e-05,0.0027,"smoking","F005"
"cg10862018",-0.002,5e-04,4.4e-05,0.0027,"smoking","F005"
"cg24112713",0.0026,6e-04,4.4e-05,0.0027,"smoking","F005"
"cg05609160",-0.0067,0.0016,4.4e-05,0.0027,"smoking","F005"
"cg16033053",0.0048,0.0012,4.4e-05,0.0027,"smoking","F005"
"cg24815934",-0.0072,0.0018,4.4e-05,0.0028,"smoking","F005"
"cg12549908",0.0069,0.0017,4.4e-05,0.0028,"smoking","F005"
"cg20833182",-0.0022,5e-04,4.4e-05,0.0028,"smoking","F005"
"cg14868574",0.0026,6e-04,4.4e-05,0.0028,"smoking","F005"
"cg09065876",-0.0085,0.0021,4.4e-05,0.0028,"smoking","F005"
"cg24735226",0.0124,0.003,4.4e-05,0.0028,"smoking","F005"
"cg21301258",0.0058,0.0014,4.4e-05,0.0028,"smoking","F005"
"cg16619378",-0.0102,0.0025,4.4e-05,0.0028,"smoking","F005"
"cg07426848",-0.0029,7e-04,4.5e-05,0.0028,"smoking","F005"
"cg12423658",0.0041,0.001,4.5e-05,0.0028,"smoking","F005"
"cg08396193",-0.0102,0.0025,4.5e-05,0.0028,"smoking","F005"
"cg20489453",-0.002,5e-04,4.5e-05,0.0028,"smoking","F005"
"cg00860225",0.006,0.0015,4.5e-05,0.0028,"smoking","F005"
"cg15298486",0.0053,0.0013,4.5e-05,0.0028,"smoking","F005"
"cg13181251",-0.0042,0.001,4.5e-05,0.0028,"smoking","F005"
"cg14127947",-0.0095,0.0023,4.5e-05,0.0028,"smoking","F005"
"cg21606956",-0.0025,6e-04,4.5e-05,0.0028,"smoking","F005"
"cg19586881",0.0023,6e-04,4.5e-05,0.0028,"smoking","F005"
"cg03531326",0.0051,0.0013,4.5e-05,0.0028,"smoking","F005"
"cg24940701",0.0014,3e-04,4.5e-05,0.0028,"smoking","F005"
"cg10364115",-0.0066,0.0016,4.5e-05,0.0028,"smoking","F005"
"cg08354281",7e-04,2e-04,4.5e-05,0.0028,"smoking","F005"
"cg08926253",-0.0064,0.0016,4.5e-05,0.0028,"smoking","F005"
"cg26407309",0.003,7e-04,4.5e-05,0.0028,"smoking","F005"
"cg27353619",0.0031,8e-04,4.5e-05,0.0028,"smoking","F005"
"cg13136655",-0.0084,0.0021,4.5e-05,0.0028,"smoking","F005"
"cg07952905",-0.005,0.0012,4.6e-05,0.0028,"smoking","F005"
"cg27138018",0.0021,5e-04,4.6e-05,0.0028,"smoking","F005"
"cg07538190",-0.0071,0.0017,4.6e-05,0.0028,"smoking","F005"
"cg08542090",0.0017,4e-04,4.6e-05,0.0028,"smoking","F005"
"cg02781660",0.0017,4e-04,4.6e-05,0.0028,"smoking","F005"
"cg22533683",-0.0093,0.0023,4.6e-05,0.0028,"smoking","F005"
"cg10959672",-0.0036,9e-04,4.6e-05,0.0028,"smoking","F005"
"cg15689795",-0.0035,9e-04,4.6e-05,0.0028,"smoking","F005"
"cg22105582",9e-04,2e-04,4.6e-05,0.0028,"smoking","F005"
"cg13993176",0.0032,8e-04,4.6e-05,0.0028,"smoking","F005"
"cg11518509",0.0054,0.0013,4.6e-05,0.0029,"smoking","F005"
"cg23731742",-0.0048,0.0012,4.6e-05,0.0029,"smoking","F005"
"cg03134947",0.0016,4e-04,4.6e-05,0.0029,"smoking","F005"
"cg06991974",-0.0052,0.0013,4.6e-05,0.0029,"smoking","F005"
"cg18868483",0.0025,6e-04,4.6e-05,0.0029,"smoking","F005"
"cg24427376",0.0052,0.0013,4.6e-05,0.0029,"smoking","F005"
"cg07171504",-0.006,0.0015,4.6e-05,0.0029,"smoking","F005"
"cg26305174",0.0043,0.0011,4.6e-05,0.0029,"smoking","F005"
"cg20923498",-0.0068,0.0017,4.6e-05,0.0029,"smoking","F005"
"cg21656246",-0.0043,0.001,4.6e-05,0.0029,"smoking","F005"
"cg04552852",-0.0033,8e-04,4.6e-05,0.0029,"smoking","F005"
"cg00605777",-0.0068,0.0017,4.6e-05,0.0029,"smoking","F005"
"cg15597096",-0.0076,0.0019,4.6e-05,0.0029,"smoking","F005"
"cg16859884",-0.0069,0.0017,4.6e-05,0.0029,"smoking","F005"
"cg23679724",-0.0064,0.0016,4.6e-05,0.0029,"smoking","F005"
"cg10877086",0.0019,5e-04,4.6e-05,0.0029,"smoking","F005"
"cg27070951",-0.0066,0.0016,4.6e-05,0.0029,"smoking","F005"
"cg20872937",0.0025,6e-04,4.7e-05,0.0029,"smoking","F005"
"cg04029168",0.0022,5e-04,4.7e-05,0.0029,"smoking","F005"
"cg05858079",-0.0027,7e-04,4.7e-05,0.0029,"smoking","F005"
"cg25689499",0.0045,0.0011,4.7e-05,0.0029,"smoking","F005"
"cg26038465",0.0032,8e-04,4.7e-05,0.0029,"smoking","F005"
"cg12073833",-0.0057,0.0014,4.7e-05,0.0029,"smoking","F005"
"cg04508951",-0.0053,0.0013,4.7e-05,0.0029,"smoking","F005"
"cg23802419",0.0016,4e-04,4.7e-05,0.0029,"smoking","F005"
"cg23581541",0.0034,8e-04,4.7e-05,0.0029,"smoking","F005"
"cg11409350",-0.0051,0.0012,4.7e-05,0.0029,"smoking","F005"
"cg13301454",-0.0054,0.0013,4.7e-05,0.0029,"smoking","F005"
"cg17378803",-0.0067,0.0016,4.7e-05,0.0029,"smoking","F005"
"cg17052976",-0.0036,9e-04,4.7e-05,0.0029,"smoking","F005"
"cg18651026",0.0034,8e-04,4.7e-05,0.0029,"smoking","F005"
"cg24228819",0.0024,6e-04,4.7e-05,0.0029,"smoking","F005"
"cg24420089",0.0076,0.0019,4.7e-05,0.0029,"smoking","F005"
"cg10211298",0.0018,5e-04,4.7e-05,0.0029,"smoking","F005"
"cg11727383",0.0071,0.0018,4.7e-05,0.0029,"smoking","F005"
"cg23686403",0.0021,5e-04,4.7e-05,0.0029,"smoking","F005"
"cg19470652",0.0027,7e-04,4.7e-05,0.0029,"smoking","F005"
"cg26292918",0.0038,9e-04,4.7e-05,0.0029,"smoking","F005"
"cg08794544",0.0028,7e-04,4.7e-05,0.0029,"smoking","F005"
"cg13804478",-0.0074,0.0018,4.7e-05,0.0029,"smoking","F005"
"cg19427610",0.0026,6e-04,4.7e-05,0.0029,"smoking","F005"
"cg10276227",0.0047,0.0012,4.7e-05,0.0029,"smoking","F005"
"cg02675353",0.0026,6e-04,4.7e-05,0.0029,"smoking","F005"
"cg08436467",0.0025,6e-04,4.7e-05,0.0029,"smoking","F005"
"cg03253303",-0.0044,0.0011,4.7e-05,0.0029,"smoking","F005"
"cg06567290",-0.0077,0.0019,4.7e-05,0.0029,"smoking","F005"
"cg20357538",0.0068,0.0017,4.7e-05,0.0029,"smoking","F005"
"cg17425818",-0.0093,0.0023,4.7e-05,0.0029,"smoking","F005"
"cg12812167",-0.0023,6e-04,4.7e-05,0.0029,"smoking","F005"
"cg00130530",-0.0052,0.0013,4.7e-05,0.0029,"smoking","F005"
"cg13425938",-0.0098,0.0024,4.7e-05,0.0029,"smoking","F005"
"cg05879505",0.0017,4e-04,4.7e-05,0.0029,"smoking","F005"
"cg10422777",0.0044,0.0011,4.7e-05,0.0029,"smoking","F005"
"cg05323251",-0.0055,0.0014,4.8e-05,0.0029,"smoking","F005"
"cg15448366",0.0047,0.0012,4.8e-05,0.0029,"smoking","F005"
"cg08625996",0.0027,7e-04,4.8e-05,0.0029,"smoking","F005"
"cg14776578",0.0072,0.0018,4.8e-05,0.0029,"smoking","F005"
"cg07048504",0.0118,0.0029,4.8e-05,0.0029,"smoking","F005"
"cg04964471",0.0024,6e-04,4.8e-05,0.0029,"smoking","F005"
"cg08103568",-0.0036,9e-04,4.8e-05,0.0029,"smoking","F005"
"cg22888848",0.0048,0.0012,4.8e-05,0.0029,"smoking","F005"
"cg26690744",-0.0037,9e-04,4.8e-05,0.0029,"smoking","F005"
"cg03280245",0.0036,9e-04,4.8e-05,0.0029,"smoking","F005"
"cg13521229",-0.005,0.0012,4.8e-05,0.0029,"smoking","F005"
"cg03890167",-0.007,0.0017,4.8e-05,0.0029,"smoking","F005"
"cg20403541",0.0037,9e-04,4.8e-05,0.003,"smoking","F005"
"cg01117384",-0.0058,0.0014,4.8e-05,0.003,"smoking","F005"
"cg07286682",0.0078,0.0019,4.8e-05,0.003,"smoking","F005"
"cg24813995",-0.0054,0.0013,4.8e-05,0.003,"smoking","F005"
"cg03704673",-0.013,0.0032,4.8e-05,0.003,"smoking","F005"
"cg04956306",-0.005,0.0012,4.8e-05,0.003,"smoking","F005"
"cg15821892",-0.0028,7e-04,4.8e-05,0.003,"smoking","F005"
"cg10253967",0.0035,9e-04,4.8e-05,0.003,"smoking","F005"
"cg22496559",0.0033,8e-04,4.8e-05,0.003,"smoking","F005"
"cg13985485",0.0107,0.0026,4.8e-05,0.003,"smoking","F005"
"cg21422361",-0.0048,0.0012,4.8e-05,0.003,"smoking","F005"
"cg22732770",-0.0057,0.0014,4.8e-05,0.003,"smoking","F005"
"cg18274559",-0.0023,6e-04,4.8e-05,0.003,"smoking","F005"
"cg00774088",-0.0028,7e-04,4.8e-05,0.003,"smoking","F005"
"cg01172150",0.0047,0.0012,4.8e-05,0.003,"smoking","F005"
"cg00534655",-0.0053,0.0013,4.8e-05,0.003,"smoking","F005"
"cg13709639",-0.0079,0.0019,4.8e-05,0.003,"smoking","F005"
"cg13978175",-0.0065,0.0016,4.9e-05,0.003,"smoking","F005"
"cg12982322",0.0051,0.0013,4.9e-05,0.003,"smoking","F005"
"cg19502709",0.0051,0.0013,4.9e-05,0.003,"smoking","F005"
"cg02549492",0.0054,0.0013,4.9e-05,0.003,"smoking","F005"
"cg22762091",0.0036,9e-04,4.9e-05,0.003,"smoking","F005"
"cg16997203",-0.0043,0.0011,4.9e-05,0.003,"smoking","F005"
"cg13758780",-0.0061,0.0015,4.9e-05,0.003,"smoking","F005"
"cg24499605",0.0092,0.0023,4.9e-05,0.003,"smoking","F005"
"cg22792646",0.0031,8e-04,4.9e-05,0.003,"smoking","F005"
"cg03014934",-0.0085,0.0021,4.9e-05,0.003,"smoking","F005"
"cg09264140",0.003,7e-04,4.9e-05,0.003,"smoking","F005"
"cg06532574",-0.0213,0.0053,4.9e-05,0.003,"smoking","F005"
"cg12192566",0.0048,0.0012,4.9e-05,0.003,"smoking","F005"
"cg18470038",0.003,7e-04,4.9e-05,0.003,"smoking","F005"
"cg13321661",0.0032,8e-04,4.9e-05,0.003,"smoking","F005"
"cg23093580",0.0066,0.0016,4.9e-05,0.003,"smoking","F005"
"cg10950593",0.0059,0.0015,4.9e-05,0.003,"smoking","F005"
"cg14187678",-0.0055,0.0013,4.9e-05,0.003,"smoking","F005"
"cg18167715",-0.0012,3e-04,4.9e-05,0.003,"smoking","F005"
"cg01297744",0.0029,7e-04,4.9e-05,0.003,"smoking","F005"
"cg24851181",-0.0038,9e-04,4.9e-05,0.003,"smoking","F005"
"cg16511225",0.0042,0.001,4.9e-05,0.003,"smoking","F005"
"cg27280535",-0.0086,0.0021,4.9e-05,0.003,"smoking","F005"
"cg20686828",-0.004,0.001,4.9e-05,0.003,"smoking","F005"
"cg15570035",-0.005,0.0012,4.9e-05,0.003,"smoking","F005"
"cg20188739",-0.0086,0.0021,4.9e-05,0.003,"smoking","F005"
"cg19194373",0.0039,0.001,4.9e-05,0.003,"smoking","F005"
"cg22274234",0.0076,0.0019,4.9e-05,0.003,"smoking","F005"
"cg12386285",-0.0028,7e-04,4.9e-05,0.003,"smoking","F005"
"cg25336765",0.0104,0.0026,4.9e-05,0.003,"smoking","F005"
"cg06545367",-0.0104,0.0026,5e-05,0.003,"smoking","F005"
"cg26169081",-0.0068,0.0017,5e-05,0.003,"smoking","F005"
"cg02736908",-0.0102,0.0025,5e-05,0.003,"smoking","F005"
"cg26182859",0.007,0.0017,5e-05,0.003,"smoking","F005"
"cg25167447",-0.0099,0.0024,5e-05,0.003,"smoking","F005"
"cg27543230",-0.0027,7e-04,5e-05,0.003,"smoking","F005"
"cg22478317",-0.0071,0.0017,5e-05,0.003,"smoking","F005"
"cg20015689",0.007,0.0017,5e-05,0.003,"smoking","F005"
"cg26164773",-0.0018,5e-04,5e-05,0.003,"smoking","F005"
"cg16468631",0.003,7e-04,5e-05,0.003,"smoking","F005"
"cg14399790",0.0066,0.0016,5e-05,0.003,"smoking","F005"
"cg09945120",0.0017,4e-04,5e-05,0.003,"smoking","F005"
"cg10634619",-0.0069,0.0017,5e-05,0.0031,"smoking","F005"
"cg04468281",0.0035,9e-04,5e-05,0.0031,"smoking","F005"
"cg14341014",0.0026,6e-04,5e-05,0.0031,"smoking","F005"
"cg01518508",0.0019,5e-04,5e-05,0.0031,"smoking","F005"
"cg06636831",0.0087,0.0021,5e-05,0.0031,"smoking","F005"
"cg07784959",0.0078,0.0019,5e-05,0.0031,"smoking","F005"
"cg08694280",0.005,0.0012,5e-05,0.0031,"smoking","F005"
"cg07847863",0.0042,0.001,5e-05,0.0031,"smoking","F005"
"cg10546977",0.0036,9e-04,5e-05,0.0031,"smoking","F005"
"cg12009872",-0.0036,9e-04,5e-05,0.0031,"smoking","F005"
"cg10722410",-0.0058,0.0014,5e-05,0.0031,"smoking","F005"
"cg10505257",0.0045,0.0011,5e-05,0.0031,"smoking","F005"
"cg00377681",-0.0069,0.0017,5e-05,0.0031,"smoking","F005"
"cg00932510",-0.004,0.001,5e-05,0.0031,"smoking","F005"
"cg06675483",0.0044,0.0011,5e-05,0.0031,"smoking","F005"
"cg22695729",0.0044,0.0011,5e-05,0.0031,"smoking","F005"
"cg02656891",0.0056,0.0014,5.1e-05,0.0031,"smoking","F005"
"cg21828319",0.0024,6e-04,5.1e-05,0.0031,"smoking","F005"
"cg12080369",-0.002,5e-04,5.1e-05,0.0031,"smoking","F005"
"cg10975863",-0.0069,0.0017,5.1e-05,0.0031,"smoking","F005"
"cg09545109",-0.0052,0.0013,5.1e-05,0.0031,"smoking","F005"
"cg22814740",-0.0052,0.0013,5.1e-05,0.0031,"smoking","F005"
"cg01364172",-0.0041,0.001,5.1e-05,0.0031,"smoking","F005"
"cg14373018",0.0056,0.0014,5.1e-05,0.0031,"smoking","F005"
"cg16269431",0.0048,0.0012,5.1e-05,0.0031,"smoking","F005"
"cg15813090",-0.0064,0.0016,5.1e-05,0.0031,"smoking","F005"
"cg12738718",-0.0043,0.0011,5.1e-05,0.0031,"smoking","F005"
"cg07035320",0.0073,0.0018,5.1e-05,0.0031,"smoking","F005"
"cg23001918",-0.0052,0.0013,5.1e-05,0.0031,"smoking","F005"
"cg10186733",0.0045,0.0011,5.1e-05,0.0031,"smoking","F005"
"cg22712403",-0.0029,7e-04,5.1e-05,0.0031,"smoking","F005"
"cg14542334",0.0068,0.0017,5.1e-05,0.0031,"smoking","F005"
"cg10643489",-0.0095,0.0023,5.1e-05,0.0031,"smoking","F005"
"cg04384987",-0.0026,6e-04,5.1e-05,0.0031,"smoking","F005"
"cg16233311",-0.0042,0.001,5.1e-05,0.0031,"smoking","F005"
"cg02183676",0.0028,7e-04,5.2e-05,0.0031,"smoking","F005"
"cg01546857",0.0042,0.001,5.2e-05,0.0031,"smoking","F005"
"cg04404543",-0.0071,0.0018,5.2e-05,0.0031,"smoking","F005"
"cg02930200",0.0041,0.001,5.2e-05,0.0031,"smoking","F005"
"cg21333217",0.0076,0.0019,5.2e-05,0.0031,"smoking","F005"
"cg17949162",-0.0032,8e-04,5.2e-05,0.0031,"smoking","F005"
"cg24011500",0.0066,0.0016,5.2e-05,0.0031,"smoking","F005"
"cg05034124",-0.0035,9e-04,5.2e-05,0.0031,"smoking","F005"
"cg14839501",-0.0051,0.0012,5.2e-05,0.0031,"smoking","F005"
"cg06914048",0.0026,6e-04,5.2e-05,0.0031,"smoking","F005"
"cg21302563",0.0074,0.0018,5.2e-05,0.0031,"smoking","F005"
"cg09359106",0.0043,0.0011,5.2e-05,0.0032,"smoking","F005"
"cg20408276",0.0108,0.0027,5.2e-05,0.0032,"smoking","F005"
"cg04859826",-0.0056,0.0014,5.2e-05,0.0032,"smoking","F005"
"cg10325659",-0.0045,0.0011,5.2e-05,0.0032,"smoking","F005"
"cg15507334",0.0062,0.0015,5.2e-05,0.0032,"smoking","F005"
"cg04687551",0.003,8e-04,5.2e-05,0.0032,"smoking","F005"
"cg25894160",0.0068,0.0017,5.2e-05,0.0032,"smoking","F005"
"cg10835770",-0.0038,9e-04,5.2e-05,0.0032,"smoking","F005"
"cg03914735",0.0069,0.0017,5.2e-05,0.0032,"smoking","F005"
"cg11042320",-0.0049,0.0012,5.3e-05,0.0032,"smoking","F005"
"cg09387382",-0.0077,0.0019,5.3e-05,0.0032,"smoking","F005"
"cg02891728",0.0056,0.0014,5.3e-05,0.0032,"smoking","F005"
"cg02571874",0.0033,8e-04,5.3e-05,0.0032,"smoking","F005"
"cg12281620",-0.0029,7e-04,5.3e-05,0.0032,"smoking","F005"
"cg01023203",-0.003,7e-04,5.3e-05,0.0032,"smoking","F005"
"cg01784327",0.0035,9e-04,5.3e-05,0.0032,"smoking","F005"
